cluster_id,top5_crimes,bottom5_crimes
70,"[('MURDER', 0.13822894168466524), ('GANG_VIOLENCE', 0.13390928725701945), ('Kidnapping', 0.08423326133909287), ('Extortion', 0.08207343412526998), ('Land Grabbing', 0.07991360691144708)]","[('Political Violence', 0.06911447084233262), ('ASSAULT', 0.06911447084233262), ('ROBBERY', 0.06695464362850972), ('Industrial Hazards', 0.06263498920086392), ('SNATCHING', 0.058315334773218146)]"
71,"[('MURDER', 0.15208333333333332), ('GANG_VIOLENCE', 0.14166666666666666), ('ROBBERY', 0.08541666666666667), ('ASSAULT', 0.07916666666666666), ('THEFT', 0.07708333333333334)]","[('Political Violence', 0.07083333333333333), ('Land Grabbing', 0.06875), ('Kidnapping', 0.06458333333333334), ('Extortion', 0.06041666666666667), ('Industrial Hazards', 0.05416666666666667)]"
72,"[('GANG_VIOLENCE', 0.24324324324324326), ('MURDER', 0.11891891891891893), ('Kidnapping', 0.0972972972972973), ('ASSAULT', 0.08648648648648649), ('Drug Possession', 0.07567567567567568)]","[('SNATCHING', 0.05945945945945946), ('ROBBERY', 0.05405405405405406), ('Industrial Hazards', 0.05405405405405406), ('Political Violence', 0.05405405405405406), ('THEFT', 0.03783783783783784)]"
73,"[('GANG_VIOLENCE', 0.15476190476190477), ('MURDER', 0.14682539682539683), ('ROBBERY', 0.09523809523809523), ('Industrial Hazards', 0.0873015873015873), ('Extortion', 0.07142857142857142)]","[('Political Violence', 0.06746031746031746), ('ASSAULT', 0.06349206349206349), ('Drug Possession', 0.05952380952380952), ('SNATCHING', 0.05555555555555555), ('Kidnapping', 0.05555555555555555)]"
74,"[('GANG_VIOLENCE', 0.18099547511312217), ('MURDER', 0.17194570135746606), ('Extortion', 0.09049773755656108), ('ROBBERY', 0.08144796380090498), ('Land Grabbing', 0.07692307692307693)]","[('THEFT', 0.058823529411764705), ('ASSAULT', 0.058823529411764705), ('Industrial Hazards', 0.058823529411764705), ('Drug Possession', 0.049773755656108594), ('SNATCHING', 0.03167420814479638)]"
75,"[('GANG_VIOLENCE', 0.1278538812785388), ('MURDER', 0.1095890410958904), ('ROBBERY', 0.1050228310502283), ('THEFT', 0.091324200913242), ('Political Violence', 0.091324200913242)]","[('Extortion', 0.0730593607305936), ('SNATCHING', 0.0684931506849315), ('Drug Possession', 0.0684931506849315), ('Industrial Hazards', 0.0639269406392694), ('Kidnapping', 0.0410958904109589)]"
76,"[('MURDER', 0.12704918032786885), ('GANG_VIOLENCE', 0.11475409836065574), ('Industrial Hazards', 0.10245901639344263), ('THEFT', 0.09836065573770492), ('ASSAULT', 0.08196721311475409)]","[('Extortion', 0.07377049180327869), ('Kidnapping', 0.06967213114754098), ('SNATCHING', 0.06557377049180328), ('ROBBERY', 0.06557377049180328), ('Drug Possession', 0.04918032786885246)]"
77,"[('GANG_VIOLENCE', 0.15315315315315314), ('MURDER', 0.14414414414414414), ('Kidnapping', 0.0990990990990991), ('ASSAULT', 0.08108108108108109), ('THEFT', 0.07657657657657657)]","[('Extortion', 0.06756756756756757), ('Political Violence', 0.06756756756756757), ('Land Grabbing', 0.06306306306306306), ('SNATCHING', 0.06306306306306306), ('Drug Possession', 0.04504504504504504)]"
78,"[('GANG_VIOLENCE', 0.11764705882352941), ('MURDER', 0.11764705882352941), ('Land Grabbing', 0.11229946524064172), ('Extortion', 0.10160427807486631), ('Drug Possession', 0.09090909090909091)]","[('SNATCHING', 0.08021390374331551), ('Political Violence', 0.058823529411764705), ('Kidnapping', 0.053475935828877004), ('ROBBERY', 0.053475935828877004), ('ASSAULT', 0.0481283422459893)]"
79,"[('MURDER', 0.14864864864864866), ('Extortion', 0.10810810810810811), ('GANG_VIOLENCE', 0.10810810810810811), ('Land Grabbing', 0.0945945945945946), ('Kidnapping', 0.0945945945945946)]","[('Industrial Hazards', 0.07657657657657657), ('ROBBERY', 0.05855855855855856), ('ASSAULT', 0.05855855855855856), ('Political Violence', 0.04504504504504504), ('Drug Possession', 0.036036036036036036)]"
80,"[('MURDER', 0.13765182186234817), ('GANG_VIOLENCE', 0.1214574898785425), ('THEFT', 0.09716599190283401), ('Drug Possession', 0.0931174089068826), ('SNATCHING', 0.08097165991902834)]","[('Extortion', 0.0728744939271255), ('Land Grabbing', 0.06477732793522267), ('ROBBERY', 0.06072874493927125), ('Kidnapping', 0.06072874493927125), ('Political Violence', 0.05263157894736842)]"
81,"[('GANG_VIOLENCE', 0.14953271028037382), ('MURDER', 0.11214953271028037), ('Drug Possession', 0.102803738317757), ('SNATCHING', 0.09345794392523364), ('Land Grabbing', 0.08411214953271028)]","[('THEFT', 0.07476635514018691), ('ASSAULT', 0.07009345794392523), ('Industrial Hazards', 0.056074766355140186), ('Political Violence', 0.0514018691588785), ('Extortion', 0.0514018691588785)]"
82,"[('MURDER', 0.1743119266055046), ('GANG_VIOLENCE', 0.12844036697247707), ('Extortion', 0.11009174311926606), ('Kidnapping', 0.09174311926605505), ('ROBBERY', 0.0871559633027523)]","[('Industrial Hazards', 0.06422018348623854), ('SNATCHING', 0.05963302752293578), ('THEFT', 0.05045871559633028), ('ASSAULT', 0.04128440366972477), ('Drug Possession', 0.04128440366972477)]"
83,"[('GANG_VIOLENCE', 0.16299559471365638), ('SNATCHING', 0.1145374449339207), ('Extortion', 0.10572687224669604), ('Industrial Hazards', 0.0881057268722467), ('THEFT', 0.0881057268722467)]","[('Drug Possession', 0.06607929515418502), ('Political Violence', 0.06167400881057269), ('ROBBERY', 0.05726872246696035), ('Land Grabbing', 0.05286343612334802), ('Kidnapping', 0.05286343612334802)]"
84,"[('GANG_VIOLENCE', 0.14634146341463414), ('MURDER', 0.14146341463414633), ('Political Violence', 0.08780487804878048), ('Kidnapping', 0.08292682926829269), ('ROBBERY', 0.07804878048780488)]","[('ASSAULT', 0.06829268292682927), ('THEFT', 0.06829268292682927), ('Extortion', 0.06829268292682927), ('Industrial Hazards', 0.06341463414634146), ('SNATCHING', 0.04390243902439024)]"
85,"[('MURDER', 0.14678899082568808), ('GANG_VIOLENCE', 0.10091743119266056), ('Land Grabbing', 0.0963302752293578), ('Kidnapping', 0.09174311926605505), ('SNATCHING', 0.09174311926605505)]","[('Extortion', 0.0779816513761468), ('Drug Possession', 0.07339449541284404), ('ASSAULT', 0.06422018348623854), ('Political Violence', 0.045871559633027525), ('Industrial Hazards', 0.03669724770642202)]"
86,"[('MURDER', 0.14847161572052403), ('GANG_VIOLENCE', 0.14847161572052403), ('Industrial Hazards', 0.09606986899563319), ('Political Violence', 0.09170305676855896), ('Drug Possession', 0.07860262008733625)]","[('Land Grabbing', 0.06550218340611354), ('Kidnapping', 0.06550218340611354), ('THEFT', 0.0611353711790393), ('ASSAULT', 0.05240174672489083), ('Extortion', 0.05240174672489083)]"
87,"[('GANG_VIOLENCE', 0.1590909090909091), ('MURDER', 0.15151515151515152), ('ROBBERY', 0.10227272727272728), ('Extortion', 0.08712121212121213), ('SNATCHING', 0.08333333333333333)]","[('Land Grabbing', 0.06439393939393939), ('Industrial Hazards', 0.06060606060606061), ('ASSAULT', 0.056818181818181816), ('Drug Possession', 0.05303030303030303), ('THEFT', 0.045454545454545456)]"
88,"[('GANG_VIOLENCE', 0.1375), ('MURDER', 0.13125), ('Kidnapping', 0.11666666666666667), ('SNATCHING', 0.10833333333333334), ('Extortion', 0.1)]","[('Industrial Hazards', 0.0625), ('Drug Possession', 0.06041666666666667), ('ASSAULT', 0.05625), ('Political Violence', 0.04375), ('THEFT', 0.041666666666666664)]"
89,"[('GANG_VIOLENCE', 0.1278118609406953), ('THEFT', 0.1165644171779141), ('ROBBERY', 0.10531697341513292), ('SNATCHING', 0.10020449897750511), ('MURDER', 0.09713701431492842)]","[('Political Violence', 0.06646216768916155), ('ASSAULT', 0.06339468302658487), ('Land Grabbing', 0.06237218813905931), ('Extortion', 0.06032719836400818), ('Industrial Hazards', 0.06032719836400818)]"
90,"[('MURDER', 0.14877745544964774), ('GANG_VIOLENCE', 0.14463323663489433), ('Extortion', 0.11065064235391629), ('SNATCHING', 0.10774968918358889), ('ROBBERY', 0.1027766266058848)]","[('ASSAULT', 0.050973891421467056), ('Industrial Hazards', 0.048901782014090345), ('THEFT', 0.04807293825113966), ('Political Violence', 0.047244094488188976), ('Land Grabbing', 0.03771239121425611)]"
91,"[('MURDER', 0.1485148514851485), ('GANG_VIOLENCE', 0.1456859971711457), ('ROBBERY', 0.11456859971711457), ('SNATCHING', 0.10891089108910891), ('Extortion', 0.10891089108910891)]","[('Land Grabbing', 0.04950495049504951), ('ASSAULT', 0.04667609618104668), ('THEFT', 0.04526166902404526), ('Industrial Hazards', 0.04101838755304102), ('Drug Possession', 0.031117397454031116)]"
92,"[('MURDER', 0.16926503340757237), ('GANG_VIOLENCE', 0.133630289532294), ('Extortion', 0.111358574610245), ('SNATCHING', 0.10467706013363029), ('ROBBERY', 0.0935412026726058)]","[('Political Violence', 0.05790645879732739), ('Drug Possession', 0.04899777282850779), ('Land Grabbing', 0.04899777282850779), ('ASSAULT', 0.0467706013363029), ('Industrial Hazards', 0.0334075723830735)]"
93,"[('GANG_VIOLENCE', 0.17335766423357665), ('MURDER', 0.1386861313868613), ('SNATCHING', 0.1259124087591241), ('Extortion', 0.09854014598540146), ('ROBBERY', 0.0948905109489051)]","[('Industrial Hazards', 0.051094890510948905), ('THEFT', 0.04927007299270073), ('Political Violence', 0.04562043795620438), ('ASSAULT', 0.041970802919708027), ('Land Grabbing', 0.03832116788321168)]"
94,"[('GANG_VIOLENCE', 0.16898954703832753), ('MURDER', 0.14285714285714285), ('Kidnapping', 0.10801393728222997), ('SNATCHING', 0.10452961672473868), ('Extortion', 0.10278745644599303)]","[('ASSAULT', 0.05574912891986063), ('Political Violence', 0.05400696864111498), ('Drug Possession', 0.04878048780487805), ('THEFT', 0.03484320557491289), ('Industrial Hazards', 0.03484320557491289)]"
95,"[('GANG_VIOLENCE', 0.1747787610619469), ('MURDER', 0.13053097345132744), ('ROBBERY', 0.11061946902654868), ('Extortion', 0.10398230088495575), ('SNATCHING', 0.09955752212389381)]","[('Land Grabbing', 0.05309734513274336), ('Drug Possession', 0.048672566371681415), ('ASSAULT', 0.0420353982300885), ('THEFT', 0.0420353982300885), ('Political Violence', 0.03761061946902655)]"
96,"[('ROBBERY', 0.12453760789149199), ('MURDER', 0.1220715166461159), ('SNATCHING', 0.11344019728729964), ('GANG_VIOLENCE', 0.10974106041923551), ('THEFT', 0.10850801479654747)]","[('Land Grabbing', 0.06411837237977805), ('Kidnapping', 0.06165228113440197), ('ASSAULT', 0.06041923551171394), ('Industrial Hazards', 0.05055487053020962), ('Extortion', 0.04315659679408138)]"
97,"[('ROBBERY', 0.13378684807256236), ('THEFT', 0.12585034013605442), ('GANG_VIOLENCE', 0.10770975056689343), ('SNATCHING', 0.10657596371882086), ('MURDER', 0.09863945578231292)]","[('Kidnapping', 0.06235827664399093), ('Political Violence', 0.060090702947845805), ('Land Grabbing', 0.05895691609977324), ('Drug Possession', 0.05215419501133787), ('ASSAULT', 0.05102040816326531)]"
98,"[('GANG_VIOLENCE', 0.15873015873015872), ('MURDER', 0.14682539682539683), ('Extortion', 0.11904761904761904), ('SNATCHING', 0.10119047619047619), ('Kidnapping', 0.09523809523809523)]","[('Political Violence', 0.05555555555555555), ('Drug Possession', 0.051587301587301584), ('ASSAULT', 0.0496031746031746), ('Land Grabbing', 0.03968253968253968), ('Industrial Hazards', 0.03373015873015873)]"
99,"[('GANG_VIOLENCE', 0.1471264367816092), ('MURDER', 0.12643678160919541), ('ROBBERY', 0.12413793103448276), ('Kidnapping', 0.10574712643678161), ('Extortion', 0.0896551724137931)]","[('ASSAULT', 0.05747126436781609), ('Drug Possession', 0.05057471264367816), ('Political Violence', 0.05057471264367816), ('Land Grabbing', 0.05057471264367816), ('THEFT', 0.04597701149425287)]"
100,"[('GANG_VIOLENCE', 0.16774193548387098), ('MURDER', 0.12903225806451613), ('ROBBERY', 0.12043010752688173), ('Extortion', 0.09247311827956989), ('SNATCHING', 0.08387096774193549)]","[('ASSAULT', 0.06451612903225806), ('Drug Possession', 0.060215053763440864), ('Land Grabbing', 0.047311827956989246), ('THEFT', 0.043010752688172046), ('Political Violence', 0.04086021505376344)]"
101,"[('Political Violence', 0.7287066246056783), ('GANG_VIOLENCE', 0.04942166140904311), ('MURDER', 0.0473186119873817), ('ROBBERY', 0.0452155625657203), ('Kidnapping', 0.022082018927444796)]","[('THEFT', 0.01892744479495268), ('ASSAULT', 0.013669821240799159), ('Drug Possession', 0.013669821240799159), ('Land Grabbing', 0.00946372239747634), ('Extortion', 0.00946372239747634)]"
102,"[('MURDER', 0.16981132075471697), ('ROBBERY', 0.12578616352201258), ('GANG_VIOLENCE', 0.11740041928721175), ('Political Violence', 0.10482180293501048), ('Kidnapping', 0.07127882599580712)]","[('Land Grabbing', 0.06289308176100629), ('THEFT', 0.05870020964360587), ('SNATCHING', 0.05870020964360587), ('Drug Possession', 0.05241090146750524), ('Industrial Hazards', 0.04821802935010482)]"
103,"[('MURDER', 0.1723009814612868), ('GANG_VIOLENCE', 0.14830970556161396), ('ROBBERY', 0.13195201744820065), ('Political Violence', 0.11232279171210469), ('Industrial Hazards', 0.06652126499454744)]","[('Extortion', 0.05343511450381679), ('Kidnapping', 0.05125408942202835), ('Land Grabbing', 0.05016357688113413), ('THEFT', 0.04580152671755725), ('SNATCHING', 0.04471101417666303)]"
104,"[('ROBBERY', 0.3978494623655914), ('Ethnic Conflict', 0.34946236559139787), ('MURDER', 0.05017921146953405), ('GANG_VIOLENCE', 0.03763440860215054), ('Political Violence', 0.03136200716845878)]","[('Land Grabbing', 0.017025089605734768), ('THEFT', 0.014336917562724014), ('Extortion', 0.012544802867383513), ('Kidnapping', 0.011648745519713262), ('SNATCHING', 0.011648745519713262)]"
105,"[('MURDER', 0.1579925650557621), ('GANG_VIOLENCE', 0.13382899628252787), ('Political Violence', 0.12639405204460966), ('ROBBERY', 0.11152416356877323), ('THEFT', 0.0762081784386617)]","[('ASSAULT', 0.05762081784386617), ('Drug Possession', 0.05762081784386617), ('SNATCHING', 0.055762081784386616), ('Kidnapping', 0.05390334572490706), ('Industrial Hazards', 0.04460966542750929)]"
106,"[('MURDER', 0.17330210772833723), ('Political Violence', 0.12060889929742388), ('GANG_VIOLENCE', 0.11592505854800937), ('ROBBERY', 0.11007025761124122), ('Drug Possession', 0.07494145199063232)]","[('Industrial Hazards', 0.059718969555035126), ('THEFT', 0.0585480093676815), ('SNATCHING', 0.0585480093676815), ('Extortion', 0.05737704918032787), ('ASSAULT', 0.04566744730679157)]"
107,"[('MURDER', 0.28081123244929795), ('GANG_VIOLENCE', 0.2628705148205928), ('Political Violence', 0.2535101404056162), ('SNATCHING', 0.0358814352574103), ('Kidnapping', 0.035101404056162244)]","[('Industrial Hazards', 0.02106084243369735), ('ASSAULT', 0.0202808112324493), ('Drug Possession', 0.014040561622464899), ('THEFT', 0.0124804992199688), ('Land Grabbing', 0.01170046801872075)]"
108,"[('MURDER', 0.17647058823529413), ('Political Violence', 0.12244897959183673), ('ROBBERY', 0.1212484993997599), ('GANG_VIOLENCE', 0.11764705882352941), ('SNATCHING', 0.06842737094837935)]","[('Drug Possession', 0.061224489795918366), ('Kidnapping', 0.060024009603841535), ('THEFT', 0.05042016806722689), ('Industrial Hazards', 0.05042016806722689), ('Land Grabbing', 0.04081632653061224)]"
109,"[('THEFT', 0.3761467889908257), ('SNATCHING', 0.3703085904920767), ('MURDER', 0.045871559633027525), ('GANG_VIOLENCE', 0.045037531276063386), ('Kidnapping', 0.03419516263552961)]","[('Drug Possession', 0.01751459549624687), ('Political Violence', 0.015012510425354461), ('Land Grabbing', 0.013344453711426188), ('ASSAULT', 0.013344453711426188), ('Industrial Hazards', 0.008340283569641367)]"
110,"[('ROBBERY', 0.12674418604651164), ('MURDER', 0.11744186046511627), ('GANG_VIOLENCE', 0.11627906976744186), ('Drug Possession', 0.11395348837209303), ('Industrial Hazards', 0.10813953488372093)]","[('Political Violence', 0.05813953488372093), ('Kidnapping', 0.05581395348837209), ('Extortion', 0.05232558139534884), ('ASSAULT', 0.05), ('Land Grabbing', 0.04534883720930233)]"
111,"[('GANG_VIOLENCE', 0.1449814126394052), ('MURDER', 0.13382899628252787), ('SNATCHING', 0.13011152416356878), ('THEFT', 0.13011152416356878), ('Drug Possession', 0.08550185873605948)]","[('Kidnapping', 0.05947955390334572), ('Political Violence', 0.048327137546468404), ('Extortion', 0.048327137546468404), ('ASSAULT', 0.03717472118959108), ('Industrial Hazards', 0.03345724907063197)]"
112,"[('SNATCHING', 0.7307692307692307), ('GANG_VIOLENCE', 0.046703296703296704), ('Drug Possession', 0.03571428571428571), ('MURDER', 0.03296703296703297), ('THEFT', 0.027472527472527472)]","[('Industrial Hazards', 0.020146520146520148), ('Political Violence', 0.0173992673992674), ('ROBBERY', 0.016483516483516484), ('ASSAULT', 0.013736263736263736), ('Land Grabbing', 0.011904761904761904)]"
113,"[('Street Crimes', 0.7057591623036649), ('GANG_VIOLENCE', 0.04607329842931937), ('MURDER', 0.04397905759162304), ('SNATCHING', 0.0356020942408377), ('THEFT', 0.033507853403141365)]","[('Political Violence', 0.016753926701570682), ('Industrial Hazards', 0.015706806282722512), ('Kidnapping', 0.014659685863874346), ('Extortion', 0.012565445026178011), ('Land Grabbing', 0.011518324607329843)]"
114,"[('SNATCHING', 0.1702127659574468), ('Drug Possession', 0.14042553191489363), ('GANG_VIOLENCE', 0.14042553191489363), ('THEFT', 0.1276595744680851), ('MURDER', 0.09787234042553192)]","[('Industrial Hazards', 0.05106382978723404), ('Extortion', 0.04680851063829787), ('ROBBERY', 0.04680851063829787), ('Kidnapping', 0.03404255319148936), ('Land Grabbing', 0.02553191489361702)]"
115,"[('GANG_VIOLENCE', 0.15753424657534246), ('THEFT', 0.14840182648401826), ('MURDER', 0.1095890410958904), ('SNATCHING', 0.1050228310502283), ('Drug Possession', 0.10273972602739725)]","[('Extortion', 0.0547945205479452), ('Industrial Hazards', 0.05251141552511415), ('ROBBERY', 0.0502283105022831), ('ASSAULT', 0.04794520547945205), ('Kidnapping', 0.04337899543378995)]"
116,"[('ROBBERY', 0.12349726775956284), ('Industrial Hazards', 0.11912568306010929), ('GANG_VIOLENCE', 0.11693989071038251), ('SNATCHING', 0.11147540983606558), ('MURDER', 0.10273224043715846)]","[('Kidnapping', 0.06229508196721312), ('Political Violence', 0.06229508196721312), ('ASSAULT', 0.05573770491803279), ('Land Grabbing', 0.04590163934426229), ('THEFT', 0.04480874316939891)]"
117,"[('SNATCHING', 0.38883888388838883), ('THEFT', 0.38883888388838883), ('GANG_VIOLENCE', 0.046804680468046804), ('MURDER', 0.0369036903690369), ('Drug Possession', 0.024302430243024302)]","[('ASSAULT', 0.016201620162016202), ('Extortion', 0.016201620162016202), ('Kidnapping', 0.0153015301530153), ('ROBBERY', 0.0153015301530153), ('Industrial Hazards', 0.0153015301530153)]"
118,"[('GANG_VIOLENCE', 0.1788793103448276), ('MURDER', 0.14439655172413793), ('SNATCHING', 0.12931034482758622), ('Kidnapping', 0.10344827586206896), ('ROBBERY', 0.08620689655172414)]","[('THEFT', 0.05172413793103448), ('Land Grabbing', 0.04525862068965517), ('Drug Possession', 0.04525862068965517), ('Industrial Hazards', 0.04310344827586207), ('ASSAULT', 0.04310344827586207)]"
119,"[('MURDER', 0.16135458167330677), ('GANG_VIOLENCE', 0.15139442231075698), ('ROBBERY', 0.10557768924302789), ('Kidnapping', 0.099601593625498), ('SNATCHING', 0.09760956175298804)]","[('Industrial Hazards', 0.055776892430278883), ('THEFT', 0.055776892430278883), ('Drug Possession', 0.049800796812749), ('Land Grabbing', 0.04780876494023904), ('ASSAULT', 0.04183266932270916)]"
120,"[('MURDER', 0.16515837104072398), ('GANG_VIOLENCE', 0.13122171945701358), ('Extortion', 0.11538461538461539), ('ROBBERY', 0.11085972850678733), ('SNATCHING', 0.10180995475113122)]","[('ASSAULT', 0.049773755656108594), ('Land Grabbing', 0.049773755656108594), ('THEFT', 0.04524886877828054), ('Industrial Hazards', 0.042986425339366516), ('Political Violence', 0.027149321266968326)]"
121,"[('GANG_VIOLENCE', 0.15726495726495726), ('ROBBERY', 0.12478632478632479), ('MURDER', 0.12307692307692308), ('SNATCHING', 0.10427350427350428), ('Kidnapping', 0.09743589743589744)]","[('Land Grabbing', 0.05299145299145299), ('Political Violence', 0.05128205128205128), ('ASSAULT', 0.04957264957264957), ('THEFT', 0.042735042735042736), ('Industrial Hazards', 0.037606837606837605)]"
122,"[('ROBBERY', 0.13229571984435798), ('GANG_VIOLENCE', 0.1303501945525292), ('MURDER', 0.122568093385214), ('SNATCHING', 0.11089494163424124), ('Drug Possession', 0.07198443579766536)]","[('Political Violence', 0.06614785992217899), ('Land Grabbing', 0.06614785992217899), ('ASSAULT', 0.058365758754863814), ('Kidnapping', 0.05642023346303502), ('Industrial Hazards', 0.05058365758754864)]"
123,"[('GANG_VIOLENCE', 0.12522686025408347), ('ROBBERY', 0.12159709618874773), ('MURDER', 0.11796733212341198), ('SNATCHING', 0.10707803992740472), ('Extortion', 0.07985480943738657)]","[('THEFT', 0.06533575317604355), ('Land Grabbing', 0.06352087114337568), ('Drug Possession', 0.06170598911070781), ('Political Violence', 0.05989110707803993), ('ASSAULT', 0.0544464609800363)]"
124,"[('MURDER', 0.1383219954648526), ('GANG_VIOLENCE', 0.1360544217687075), ('SNATCHING', 0.11791383219954649), ('ROBBERY', 0.09977324263038549), ('Industrial Hazards', 0.08616780045351474)]","[('THEFT', 0.06575963718820861), ('Drug Possession', 0.05668934240362812), ('ASSAULT', 0.05215419501133787), ('Extortion', 0.049886621315192746), ('Political Violence', 0.049886621315192746)]"
125,"[('SNATCHING', 0.26889952153110047), ('ROBBERY', 0.2660287081339713), ('GANG_VIOLENCE', 0.06985645933014355), ('MURDER', 0.06411483253588517), ('Kidnapping', 0.05167464114832536)]","[('Political Violence', 0.042105263157894736), ('Extortion', 0.04114832535885168), ('Industrial Hazards', 0.03732057416267943), ('THEFT', 0.0354066985645933), ('ASSAULT', 0.03062200956937799)]"
126,"[('GANG_VIOLENCE', 0.14161220043572983), ('ROBBERY', 0.12854030501089325), ('MURDER', 0.11982570806100218), ('SNATCHING', 0.11764705882352941), ('Extortion', 0.07625272331154684)]","[('THEFT', 0.058823529411764705), ('Industrial Hazards', 0.05664488017429194), ('ASSAULT', 0.054466230936819175), ('Political Violence', 0.05228758169934641), ('Kidnapping', 0.04793028322440087)]"
127,"[('MURDER', 0.13982300884955753), ('ROBBERY', 0.13097345132743363), ('SNATCHING', 0.12035398230088495), ('GANG_VIOLENCE', 0.11858407079646018), ('Land Grabbing', 0.07079646017699115)]","[('Industrial Hazards', 0.06548672566371681), ('ASSAULT', 0.06017699115044248), ('THEFT', 0.0584070796460177), ('Extortion', 0.05309734513274336), ('Drug Possession', 0.047787610619469026)]"
128,"[('MURDER', 0.1791044776119403), ('GANG_VIOLENCE', 0.12153518123667377), ('SNATCHING', 0.11087420042643924), ('ROBBERY', 0.09594882729211088), ('Political Violence', 0.07889125799573561)]","[('THEFT', 0.05970149253731343), ('Kidnapping', 0.05970149253731343), ('Drug Possession', 0.05543710021321962), ('Industrial Hazards', 0.053304904051172705), ('Extortion', 0.0511727078891258)]"
129,"[('MURDER', 0.17653508771929824), ('SNATCHING', 0.125), ('ROBBERY', 0.12171052631578948), ('GANG_VIOLENCE', 0.11403508771929824), ('Industrial Hazards', 0.0668859649122807)]","[('THEFT', 0.05701754385964912), ('ASSAULT', 0.05592105263157895), ('Kidnapping', 0.05482456140350877), ('Political Violence', 0.0537280701754386), ('Extortion', 0.05043859649122807)]"
130,"[('MURDER', 0.16775126536514823), ('GANG_VIOLENCE', 0.1294287780187997), ('ROBBERY', 0.10845986984815618), ('SNATCHING', 0.10629067245119306), ('Drug Possession', 0.07230657989877079)]","[('Industrial Hazards', 0.0636297903109183), ('ASSAULT', 0.05929139551699204), ('Extortion', 0.05567606652205351), ('Political Violence', 0.05350686912509038), ('Kidnapping', 0.04772234273318872)]"
131,"[('MURDER', 0.16027088036117382), ('SNATCHING', 0.12866817155756208), ('GANG_VIOLENCE', 0.11060948081264109), ('ROBBERY', 0.10948081264108352), ('Drug Possession', 0.07787810383747178)]","[('THEFT', 0.062076749435665914), ('ASSAULT', 0.060948081264108354), ('Political Violence', 0.05756207674943566), ('Kidnapping', 0.04966139954853273), ('Extortion', 0.0417607223476298)]"
132,"[('MURDER', 0.18773946360153257), ('GANG_VIOLENCE', 0.12835249042145594), ('ROBBERY', 0.11302681992337164), ('SNATCHING', 0.09195402298850575), ('Drug Possession', 0.07279693486590039)]","[('ASSAULT', 0.05938697318007663), ('Kidnapping', 0.05938697318007663), ('Political Violence', 0.05747126436781609), ('Industrial Hazards', 0.05555555555555555), ('Extortion', 0.04980842911877394)]"
133,"[('MURDER', 0.16213275299238303), ('ROBBERY', 0.12404787812840043), ('GANG_VIOLENCE', 0.11969532100108814), ('SNATCHING', 0.11534276387377584), ('Political Violence', 0.06855277475516866)]","[('Drug Possession', 0.05984766050054407), ('Land Grabbing', 0.05984766050054407), ('THEFT', 0.056583242655059846), ('Kidnapping', 0.055495103373231776), ('ASSAULT', 0.05223068552774755)]"
134,"[('MURDER', 0.3982808022922636), ('ROBBERY', 0.39083094555873926), ('SNATCHING', 0.03495702005730659), ('GANG_VIOLENCE', 0.032664756446991405), ('Industrial Hazards', 0.021203438395415473)]","[('THEFT', 0.01833810888252149), ('Drug Possession', 0.017765042979942695), ('Political Violence', 0.016045845272206302), ('Land Grabbing', 0.016045845272206302), ('ASSAULT', 0.015472779369627506)]"
135,"[('MURDER', 0.1845841784989858), ('GANG_VIOLENCE', 0.12778904665314403), ('SNATCHING', 0.12373225152129817), ('ROBBERY', 0.11561866125760649), ('ASSAULT', 0.06896551724137931)]","[('Extortion', 0.056795131845841784), ('Political Violence', 0.05070993914807302), ('THEFT', 0.0486815415821501), ('Drug Possession', 0.04665314401622718), ('Industrial Hazards', 0.04462474645030426)]"
136,"[('MURDER', 0.14535901926444833), ('GANG_VIOLENCE', 0.14010507880910683), ('SNATCHING', 0.12084063047285463), ('ROBBERY', 0.10683012259194395), ('ASSAULT', 0.10507880910683012)]","[('Industrial Hazards', 0.06129597197898424), ('THEFT', 0.06129597197898424), ('Extortion', 0.047285464098073555), ('Political Violence', 0.03852889667250438), ('Land Grabbing', 0.03502626970227671)]"
137,"[('MURDER', 0.17560975609756097), ('GANG_VIOLENCE', 0.1278048780487805), ('ROBBERY', 0.10926829268292683), ('SNATCHING', 0.10439024390243902), ('Kidnapping', 0.06829268292682927)]","[('ASSAULT', 0.0624390243902439), ('Extortion', 0.05951219512195122), ('Political Violence', 0.05658536585365854), ('THEFT', 0.05268292682926829), ('Land Grabbing', 0.04780487804878049)]"
138,"[('THEFT', 0.7160342717258262), ('MURDER', 0.04528763769889841), ('GANG_VIOLENCE', 0.0416156670746634), ('ROBBERY', 0.03671970624235006), ('Land Grabbing', 0.03427172582619339)]","[('Industrial Hazards', 0.019583843329253364), ('Drug Possession', 0.01835985312117503), ('ASSAULT', 0.014687882496940025), ('Political Violence', 0.014687882496940025), ('Kidnapping', 0.006119951040391677)]"
139,"[('MURDER', 0.16622551614610906), ('GANG_VIOLENCE', 0.12440444679724721), ('ROBBERY', 0.1228163049232398), ('SNATCHING', 0.10958178930651138), ('ASSAULT', 0.10746426680783483)]","[('THEFT', 0.05452620434092112), ('Political Violence', 0.05082053996823716), ('Extortion', 0.05082053996823716), ('Industrial Hazards', 0.04764425622022234), ('Kidnapping', 0.047114875595553204)]"
